,이름,평점,주소,카테고리,조회수
140,마를리,3.6,서울특별시 성동구 연무장길 47,카페/디저트,7346
141,&meaL,4.6,서울특별시 성동구 왕십리로4길 26-18 ,양식,6273
142,진작다이닝,3.0,서울특별시 성동구 왕십리로14나길 10 ,일/중/아시아,3326
143,카페 할아버지공장,3.5,서울특별시 성동구 성수이로7가길 9,카페/디저트,3949
144,greytcoffee 그레이트커피,3.0,서울특별시 성동구 서울숲2길 6 ,카페/디저트,3328
145,100회,2.9,서울 성동구 뚝섬로 341-8,씨푸드,3533
146,원산면옥,2.8,,한식,3175
147,트와블루,2.8,서울특별시 성동구 서울숲길 50 ,양식,4277
148,미즈라,2.7,서울 성동구 아차산로7길 36,일식/중식/세계음식,3807
149,Acre(에이커),3.8,서울특별시 광진구 동일로4길 31,나이트라이프,1820
150,미테이블,3.4,서울 성동구 왕십리로8길 5,나이트라이프,1591
151,시옹마오,3.0,서울특별시 성동구 뚝섬로9길 16 ,일/중/아시아,1542
152,더즌오이스터,3.0,서울특별시 성동구 서울숲4길 12-7,양식/레스토랑,1725
153,목금,3.5,서울특별시 성동구 왕십리로2길 34,양식,2619
154,차만다 서울숲점,3.5,서울특별시 성동구 서울숲2길 28-12 ,양식,4594
155,도믹스,3.0,서울특별시 성동구 둘레9가길 9,한식,3987
156,온량,5.0,서울특별시 성동구 서울숲4길 26-10 ,양식,3588
157,일쁠루수빠리,3.0,서울특별시 성동구 성덕정길 44,카페/디저트,4796
158,옹근달,3.5,서울특별시 성동구 성수이로7길 41-1,카페/디저트,912
159,모멘토,3.0,서울특별시 성동구 상원6길 11-1,카페/디저트,975
160,본노엘,3.5,서울특별시 성동구 상원길 64,카페/디저트,4090
161,땡초꼼장어,2.9,서울특별시 성동구 왕십리로4길 23-1,씨푸드,3917
162,더블핸스테이크 서울숲점,2.8,서울특별시 성동구 왕십리로8길 7,양식,5021
163,메쉬커피,2.8,,카페/디저트,3906
164,마리오네,0.0,서울특별시 성동구 성수이로12길 15  ,양식,146
165,체다앤올리,3.9,서울특별시 성동구 서울숲2길 32-14,양식,7645
166,글로우,3.9,서울 성동구 아차산로9길 20,카페/디저트,1960
167,프라이데이무브먼트,3.9,서울특별시 성동구 왕십리로14길 7,일/중/아시아,2525
168,해물썬,4.8,서울 성동구 아차산로 91,양식/레스토랑,1299
169,미도림,4.0,서울특별시 성동구 왕십리로 108 ,나이트라이프,1715
170,카페테리아 라루나,3.3,서울특별시 성동구 왕십리로11길 7,카페/디저트,1572
171,오드투스윗,3.0,서울특별시 성동구 연무장길 20 ,카페/디저트,1108
172,윤경,3.0,서울특별시 성동구 아차산로 3,양식,1284
173,&meal 앤드밀,4.0,서울특별시 성동구 연무장3길 5-1,양식,2104
174,윤경양식당,3.0,서울특별시 성동구 왕십리로 96 ,양식,2915
175,마우로아,2.9,서울 성동구 뚝섬로 358,일/중/아시아,3707
176,천수곱창,2.7,,고기,4254
177,Wei,2.6,,일/중/아시아,2434
178,이우 다이닝,4.1,서울특별시 성동구 성수일로 57,고기,2733
179,세이지,0.0,서울특별시 성동구 연무장9길 7,나이트라이프,199
180,아치Archi,0.0,서울특별시 성동구 서울숲2길 20-12  ,나이트라이프,677
181,알천 성동본점,2.0,서울 성동구 성덕정길 148,고기,3692
182,파브,4.0,서울특별시 용산구 한강대로 159-1,나이트라이프,1427
183,안전가옥,2.8,서울특별시 성동구 연무장길 101-1 ,카페/디저트,1382
184,일루오리,2.8,서울 성동구 성수일로8길 40,고기,3793
185,한세희복집 ,2.8,,씨푸드,4122
186,layer 57 studio,2.7,서울특별시 성동구 성수이로20길 57 ,카페/디저트,3267
187,유향소,2.6,서울 성동구 광나루로 248-1,일/중/아시아,5842
188,Nm 엔엠,0.0,서울특별시 용산구 한강대로62나길 20-32 ,나이트라이프,798
189,와하카,2.5,서울 성동구 성수일로12길 29,양식,1380
190,늘봄숯불갈비,2.8,,고기,3480
191,홍정원,2.6,,일/중/아시아,7659
192,장가,2.5,,일/중/아시아,5178
193,연탄불꼼장어,2.7,서울 성동구 상원1길 12,씨푸드,4000
194,미정이네식당,2.7,서울특별시 성동구 성덕정15길 6-5 미정이네식당,씨푸드,3851
195,인덱스카라멜,3.0,서울특별시 성동구 성수이로14길 14 1층 index caramel,카페/디저트,5378
196,라온석갈비,2.4,서울 성동구 성수이로 119,고기,2677
197,짬뽕위에더짬뽕,2.1,서울특별시 성동구 서울숲6길 21,일/중/아시아,3582
198,BBHAY,2.5,서울특별시 성동구 연무장17길 5 ,카페/디저트,3530
199,원주추어탕,3.0,서울특별시 강남구 압구정로 224,고기,3532
200,쥬시브로스,2.8,서울특별시 강남구 압구정로 226,카페/디저트,5940
201,어니언,2.7,서울 강북구 솔매로50길 55,카페/디저트,6764
202,그리드채플린,0.0,서울특별시 성동구 아차산로7길 15-1 효정빌딩 ,나이트라이프,1063
203,춘하추우동,0.0,서울특별시 성동구 연무장3길 8-27,일/중/아시아,1151
204,서울숲누룽지통닭구이,0.0,서울특별시 성동구 왕십리로5길 10,고기,2058
205,카페 차,3.5,서울특별시 성동구 서울숲6길 2 ,카페/디저트,3642
206,청죽골,2.5,서울특별시 성동구 서울숲4길 28-3 ,고기,4371
207,스미토라,0.0,서울특별시 성동구 연무장길 29-9 ,일/중/아시아,1985
208,리타르단도,4.0,서울특별시 성동구 뚝섬로 393 ,나이트라이프,1216
209,OFTT,3.0,서울특별시 성동구 왕십리로10길 20  ,한식,596
210,무국점주점 거실,3.5,서울특별시 성동구 성덕정17길 4 ,나이트라이프,554
211,새들러하우스,3.5,서울특별시 성동구 성덕정11길 5-12,카페/디저트,641
212,소인수서울,4.0,서울특별시 성동구 왕십리로 136 ,고기,3985
213,피자시즌,3.5,서울특별시 성동구 성수이로14길 14,양식,1743
214,커피오스,3.5,서울 성동구 성수일로4길 31-1,카페/디저트,685
215,정선부뚜막,5.0,서울 성동구 서울숲6길 14,한식,1437
216,아키야마,4.0,서울특별시 성동구 아차산로7나길 18,일식/중식/세계음식,662
217,세디치,0.0,서울특별시 성동구 성수이로22길 37 성수동 아크밸리 ,양식,146
218,암암리,0.0,서울특별시 성동구 서울숲2길 13 ,한식,794
219,큐씨오,0.0,서울특별시 성동구 연무장길 3 ,나이트라이프,446
220,카모플라쥬커피,0.0,서울특별시 성동구 아차산로1길 9,카페/디저트,66
221,오팔,0.0,서울특별시 성동구 연무장7가길 1 ,한식,152
222,무브모브 카페&스튜디오,0.0,서울특별시 성동구 성수일로 56,카페/디저트,109
223,스시오오모토,0.0,서울특별시 성동구 상원1길 39-1 ,일/중/아시아,1139
224,레이어10,0.0,서울특별시 성동구 상원4길 10,카페/디저트,183
225,톤업,0.0,서울특별시 성동구 성수일로 95 ,카페/디저트,613
226,방춘리,0.0,서울특별시 성동구 연무장7가길 5 ,나이트라이프,1098
227,루프Looop ,0.0,서울특별시 성동구 연무장5길 9-13 ,카페/디저트,503
228,난포,3.8,서울특별시 성동구 서울숲4길 18-8 ,한식,5008
229,퀴바라,0.0,서울특별시 성동구 성수일로1길 18 ,나이트라이프,1259
230,ndd,3.8,서울특별시 성동구 서울숲2길 19-18 ,카페/디저트,1248
231,몽련,0.0,서울특별시 성동구 왕십리로10길 3,고기,1307
232,텐동식당,3.8,서울특별시 성동구 연무장5가길 20-1 ,일/중/아시아,4514
233,카페랏102,0.0,서울특별시 성동구 성수일로 10 ,카페/디저트,455
